value,label,county_value,county_label,label_ch,county_label_ch
15,中正區,2,基隆市,Zhongzheng District,Keelung
13,仁愛區,2,基隆市,Ren'ai District,Keelung
14,信義區,2,基隆市,Xinyi District,Keelung
17,安樂區,2,基隆市,Anle District,Keelung
19,七堵區,2,基隆市,Qidu District,Keelung
16,中山區,2,基隆市,Zhongshan Area,Keelung
18,暖暖區,2,基隆市,warm zone,Keelung
3,中山區,1,台北市,Zhongshan Area,Taipei City
5,大安區,1,台北市,Da'an District,Taipei City
7,信義區,1,台北市,Xinyi District,Taipei City
8,士林區,1,台北市,Shilin District,Taipei City
10,內湖區,1,台北市,Neihu District,Taipei City
1,中正區,1,台北市,Zhongzheng District,Taipei City
6,萬華區,1,台北市,Wanhua District,Taipei City
4,松山區,1,台北市,Songshan District,Taipei City
2,大同區,1,台北市,Datong District,Taipei City
12,文山區,1,台北市,Wenshan District,Taipei City
9,北投區,1,台北市,Beitou District,Taipei City
11,南港區,1,台北市,Nangang District,Taipei City
26,板橋區,3,新北市,Banqiao District,New Taipei City
43,三重區,3,新北市,Sanchong District,New Taipei City
50,淡水區,3,新北市,freshwater area,New Taipei City
38,中和區,3,新北市,Zhonghe District,New Taipei City
37,永和區,3,新北市,Yonghe District,New Taipei City
44,新莊區,3,新北市,Xinzhuang District,New Taipei City
34,新店區,3,新北市,Xindian District,New Taipei City
27,汐止區,3,新北市,Xizhi District,New Taipei City
46,林口區,3,新北市,Linkou District,New Taipei City
47,蘆洲區,3,新北市,Luzhou District,New Taipei City
39,土城區,3,新北市,Tucheng District,New Taipei City
40,三峽區,3,新北市,Three Gorges District,New Taipei City
45,泰山區,3,新北市,Taishan District,New Taipei City
42,鶯歌區,3,新北市,Yingge District,New Taipei City
41,樹林區,3,新北市,wooded area,New Taipei City
48,五股區,3,新北市,Wugu District,New Taipei City
49,八里區,3,新北市,Bali District,New Taipei City
28,深坑區,3,新北市,pit area,New Taipei City
51,三芝區,3,新北市,Sanzhi District,New Taipei City
30,瑞芳區,3,新北市,Ruifang District,New Taipei City
21,金山區,3,新北市,Jinshan District,New Taipei City
20,萬里區,3,新北市,Wanli District,New Taipei City
36,烏來區,3,新北市,Wulai District,New Taipei City
33,貢寮區,3,新北市,Gongliao District,New Taipei City
35,坪林區,3,新北市,Pinglin District,New Taipei City
29,石碇區,3,新北市,Shiding District,New Taipei City
31,平溪區,3,新北市,Pingxi District,New Taipei City
32,雙溪區,3,新北市,Shuangxi District,New Taipei City
52,石門區,3,新北市,Shimen District,New Taipei City
73,桃園區,6,桃園市,Taoyuan District,taoyuan city
67,中壢區,6,桃園市,Zhongli District,taoyuan city
79,蘆竹區,6,桃園市,Luzhu District,taoyuan city
74,龜山區,6,桃園市,Guishan District,taoyuan city
68,平鎮區,6,桃園市,Pingzhen District,taoyuan city
75,八德區,6,桃園市,Bade District,taoyuan city
78,大園區,6,桃園市,big park,taoyuan city
70,楊梅區,6,桃園市,Yangmei District,taoyuan city
72,觀音區,6,桃園市,Guanyin District,taoyuan city
69,龍潭區,6,桃園市,Longtan District,taoyuan city
76,大溪區,6,桃園市,Daxi District,taoyuan city
71,新屋區,6,桃園市,Xinwu District,taoyuan city
77,復興區,6,桃園市,Fuxing District,taoyuan city
371,東區,4,新竹市,Eastern District,Hsinchu City
372,北區,4,新竹市,North District,Hsinchu City
370,香山區,4,新竹市,Xiangshan District,Hsinchu City
54,竹北市,5,新竹縣,Zhubei,Hsinchu County
55,湖口鄉,5,新竹縣,Hukou Township,Hsinchu County
56,新豐鄉,5,新竹縣,Xinfeng Township,Hsinchu County
61,竹東鎮,5,新竹縣,Zhudong Town,Hsinchu County
60,寶山鄉,5,新竹縣,Baoshan Township,Hsinchu County
57,新埔鎮,5,新竹縣,Xinpu Town,Hsinchu County
59,芎林鄉,5,新竹縣,Xionglin Township,Hsinchu County
58,關西鎮,5,新竹縣,Kansai Town,Hsinchu County
63,橫山鄉,5,新竹縣,Hengshan Township,Hsinchu County
62,五峰鄉,5,新竹縣,Wufeng Township,Hsinchu County
64,尖石鄉,5,新竹縣,Jianshi Xiang,Hsinchu County
65,北埔鄉,5,新竹縣,Beipu Township,Hsinchu County
66,峨嵋鄉,5,新竹縣,Emei Township,Hsinchu County
80,竹南鎮,7,苗栗縣,Zhunan Town,Miaoli County
81,頭份市,7,苗栗縣,Toufen,Miaoli County
88,苗栗市,7,苗栗縣,Miaoli City,Miaoli County
87,苑裡鎮,7,苗栗縣,Yuanli Town,Miaoli County
85,後龍鎮,7,苗栗縣,Houlong Town,Miaoli County
89,造橋鄉,7,苗栗縣,Zaoqiao Township,Miaoli County
94,銅鑼鄉,7,苗栗縣,Tongluo Township,Miaoli County
91,公館鄉,7,苗栗縣,Gongguan Township,Miaoli County
86,通霄鎮,7,苗栗縣,Tongxiao Town,Miaoli County
95,三義鄉,7,苗栗縣,Sanyi Township,Miaoli County
97,卓蘭鎮,7,苗栗縣,Zhuolan Town,Miaoli County
90,頭屋鄉,7,苗栗縣,Touwu Xiang,Miaoli County
82,三灣鄉,7,苗栗縣,Sanwan Township,Miaoli County
83,南庄鄉,7,苗栗縣,Nanzhuang Township,Miaoli County
84,獅潭鄉,7,苗栗縣,Shitan Township,Miaoli County
92,大湖鄉,7,苗栗縣,Dahu Township,Miaoli County
93,泰安鄉,7,苗栗縣,Tai'an Township,Miaoli County
96,西湖鄉,7,苗栗縣,West Lake Township,Miaoli County
104,西屯區,8,台中市,Xitun District,Taichung
102,北區,8,台中市,North District,Taichung
103,北屯區,8,台中市,Beitun District,Taichung
101,西區,8,台中市,West District,Taichung
100,南區,8,台中市,South area,Taichung
105,南屯區,8,台中市,Nantun District,Taichung
99,東區,8,台中市,Eastern District,Taichung
107,大里區,8,台中市,Dali District,Taichung
121,龍井區,8,台中市,Longjing District,Taichung
106,太平區,8,台中市,Taiping District,Taichung
120,沙鹿區,8,台中市,Shalu District,Taichung
98,中區,8,台中市,Central District,Taichung
117,大雅區,8,台中市,Daya District,Taichung
110,豐原區,8,台中市,Fengyuan District,Taichung
108,霧峰區,8,台中市,Wufeng District,Taichung
116,潭子區,8,台中市,Tanzi District,Taichung
111,后里區,8,台中市,Houli District,Taichung
123,清水區,8,台中市,Clearwater District,Taichung
122,梧棲區,8,台中市,Wuqi District,Taichung
109,烏日區,8,台中市,Uri District,Taichung
124,大甲區,8,台中市,Dajia District,Taichung
119,大肚區,8,台中市,belly area,Taichung
118,神岡區,8,台中市,Kamioka District,Taichung
125,外埔區,8,台中市,Waipu District,Taichung
113,東勢區,8,台中市,Dongshi District,Taichung
115,新社區,8,台中市,new community,Taichung
126,大安區,8,台中市,Da'an District,Taichung
112,石岡區,8,台中市,Shigang District,Taichung
114,和平區,8,台中市,Heping District,Taichung
127,彰化市,10,彰化縣,Changhua City,Changhua County
136,員林市,10,彰化縣,Yuanlin City,Changhua County
131,鹿港鎮,10,彰化縣,Lukang Town,Changhua County
141,大村鄉,10,彰化縣,Dacun Xiang,Changhua County
134,和美鎮,10,彰化縣,Hemei Town,Changhua County
144,北斗鎮,10,彰化縣,Beidou Town,Changhua County
135,伸港鄉,10,彰化縣,Shen Gang Township,Changhua County
140,溪湖鎮,10,彰化縣,Xihu Town,Changhua County
133,線西鄉,10,彰化縣,Xian Xixiang,Changhua County
130,秀水鄉,10,彰化縣,Xiushui Township,Changhua County
146,埤頭鄉,10,彰化縣,Pitou Xiang,Changhua County
137,社頭鄉,10,彰化縣,Shetou Township,Changhua County
149,二林鎮,10,彰化縣,Erlin Town,Changhua County
143,田中鎮,10,彰化縣,Tanaka Town,Changhua County
147,溪州鄉,10,彰化縣,Xizhou Township,Changhua County
151,芳苑鄉,10,彰化縣,Fangyuan Township,Changhua County
129,花壇鄉,10,彰化縣,Huatan Township,Changhua County
132,福興鄉,10,彰化縣,Fuxing Township,Changhua County
138,永靖鄉,10,彰化縣,Yongjing Township,Changhua County
142,埔鹽鄉,10,彰化縣,Puyan Township,Changhua County
128,芬園鄉,10,彰化縣,Fenyuan Township,Changhua County
139,埔心鄉,10,彰化縣,Puxin Township,Changhua County
145,田尾鄉,10,彰化縣,Tianwei Township,Changhua County
148,竹塘鄉,10,彰化縣,Zhutang Township,Changhua County
150,大城鄉,10,彰化縣,Dacheng and Rural,Changhua County
152,二水鄉,10,彰化縣,Ershui Township,Changhua County
155,草屯鎮,11,南投縣,Caotun Town,Nantou County
157,埔里鎮,11,南投縣,Puli Town,Nantou County
153,南投市,11,南投縣,Nantou City,Nantou County
164,竹山鎮,11,南投縣,Zhushan Town,Nantou County
165,鹿谷鄉,11,南投縣,Lugu Township,Nantou County
161,水里鄉,11,南投縣,Shuili Township,Nantou County
160,集集鎮,11,南投縣,Jiji Town,Nantou County
156,國姓鄉,11,南投縣,Guoxing Township,Nantou County
159,名間鄉,11,南投縣,Mingjian Township,Nantou County
158,仁愛鄉,11,南投縣,Ren'ai Township,Nantou County
154,中寮鄉,11,南投縣,Zhongliao Township,Nantou County
162,魚池鄉,11,南投縣,Yuchi Xiang,Nantou County
163,信義鄉,11,南投縣,Xinyi Township,Nantou County
194,斗六市,14,雲林縣,douliu city,Yunlin County
187,虎尾鎮,14,雲林縣,Huwei Town,Yunlin County
185,斗南鎮,14,雲林縣,Dounan Town,Yunlin County
193,麥寮鄉,14,雲林縣,Mailiao Township,Yunlin County
198,西螺鎮,14,雲林縣,Xiluo Town,Yunlin County
200,北港鎮,14,雲林縣,Beigang Town,Yunlin County
188,土庫鎮,14,雲林縣,Tuku Town,Yunlin County
202,口湖鄉,14,雲林縣,Kouhu Township,Yunlin County
191,臺西鄉,14,雲林縣,Taixi Township,Yunlin County
192,崙背鄉,14,雲林縣,Lunbei Township,Yunlin County
197,莿桐鄉,14,雲林縣,Jutong Township,Yunlin County
189,褒忠鄉,14,雲林縣,Baozhong Township,Yunlin County
196,古坑鄉,14,雲林縣,Gukeng Township,Yunlin County
204,元長鄉,14,雲林縣,Yuan Chang Xiang,Yunlin County
195,林內鄉,14,雲林縣,Linnei Township,Yunlin County
186,大埤鄉,14,雲林縣,Dapi Township,Yunlin County
190,東勢鄉,14,雲林縣,Dongshi Township,Yunlin County
199,二崙鄉,14,雲林縣,Erlun Township,Yunlin County
201,水林鄉,14,雲林縣,Shuilin Township,Yunlin County
203,四湖鄉,14,雲林縣,Sihu Township,Yunlin County
373,西區,12,嘉義市,West District,chiayi city
374,東區,12,嘉義市,Eastern District,chiayi city
